[1972.94445499] [2256.32]
[1922.91711717] [2387.206286]
[1891.992494] [2211.976857]
[2240.01476852] [2279.82]
[2282.36558488] [2192.9808]
[2391.14524734] [2275.9307]
[2353.37145804] [2290.02]
[2564.02853237] [2285.933914]
[2311.42726129] [2399.242671]
[2396.54634913] [2409.93]
[2596.47781253] [2525.765158]
[2591.27152115] [2516.173143]
[2624.89745119] [2529.53]
[2678.61059491] [2883.313697]
[2732.02918] [2664.920863]
[2409.1595732] [2683.03]
[2706.34028246] [2827.4913]
[2717.48769665] [2845.372857]
[2911.95425694] [2898.63]
[3020.41489866] [2657.675063]
[2945.57380915] [2748.185086]
[2919.16532085] [2706.]
[2917.55899495] [2442.48025]
[3237.54738151] [2464.959814]
[3049.46486605] [2477.94]
[3023.52826143] [2507.389252]
[2901.74992143] [2617.210263]
[2926.0212505] [2600.]
[2901.12701163] [2671.04325]
[2861.43740959] [2727.288013]
[2897.69418036] [2713.48]
[2660.79419605] [2589.164888]
[2911.71812267] [2512.366286]
[2986.22234176] [2502.03]
[2918.8909551] [2517.903114]
[2985.80066164] [2585.349186]
[2747.08874467] [2558.3]
[2828.37709929] [2477.641375]
[2794.26471598] [2501.191343]
[2603.97961716] [2421.26]
[2662.27817893] [2561.225429]
[2757.54149493] [2599.729838]
[2619.02222362] [2598.89]
[2660.39038113] [2609.96775]
[2553.3295506] [2491.201214]
[2641.93141966] [2502.86]
[2616.67715603] [2536.238938]
[2554.1162698] [2366.170143]
[2590.41791466] [2327.09]
[2607.51199237] [2385.748571]
[2545.17999208] [2354.783417]
[2678.78269511] [2338.49]
[2548.66217177] [2058.9956]
[2496.17582029] [1931.2143]
[2547.39876024] [1910.96]
[2474.6606409] [2320.12225]
[2375.9858489] [2264.7657]
[2364.2389483] [2265.21]
[2331.79684062] [2682.195363]
[2285.63875835] [2807.609857]
[2329.95388298] [2825.51]
[2299.03593518] [2751.821029]
[2335.80977625] [2560.997917]
[2403.7888077] [2564.3]
[2470.55542753] [2647.625]
[2410.98318921] [2781.636583]
[2489.66391702] [2784.8]
[2642.66896183] [2745.955417]
[2637.50169714] [2866.431667]
[2674.70623804] [2862.9]
[2735.41579655] [2693.633983]
[2725.32761597] [2794.117717]
[2747.88216496] [2790.]
[2782.23991498] [3218.115017]
[2853.20546519] [3252.562533]
[2823.38550156] [3210.2]
[2975.63932132] [3457.374333]
[2895.75095852] [3357.326317]
[3024.93893809] [3340.28]
[3029.13967865] [3632.506667]
[3189.00864532] [3852.802914]
[3265.78589356] [3868.52]
[3039.37861502] [4282.992]
[3411.41822733] [4217.028329]
[4026.19236947] [4179.97]
[3621.07061273] [4328.725717]
[4236.0045486] [4130.440067]
[3936.15295324] [4104.71]
[4103.89794952] [4157.958033]
[4359.44122216] [4043.722]
[4046.95859088] [3986.28]
[4239.78439621] [4174.95]
[4869.31633782] [4340.316717]
[4765.37548076] [4331.77]
[4300.66350798] [4360.513317]
[4793.5064661] [4354.308333]
[4408.93907765] [4339.05]
[4111.27938814] [4607.98545]
[4295.40286199] [4594.98785]
[4780.15505494] [4582.52]
[4637.96118818] [4911.740017]
[4635.06276369] [4580.38748]
[4739.87846719] [4585.57]
[4862.6891806] [4344.098317]
[4525.91425097] [4488.72014]
[4986.92490708] [4385.02]
[4614.43982922] [4654.6585]
[4824.10139326] [4310.750183]
[4678.11859582] [4312.26]
[4788.33234472] [4329.955]
[4562.12653719] [4248.090017]
[4595.03446959] [4198.59]
[4562.93632576] [3961.271267]
[4770.26375803] [3319.63]
[4546.2304828] [3216.43]
[4649.5733453] [3763.62604]
[4625.09059013] [3746.060783]
[4355.22863112] [3678.53]
[4226.2557243] [3943.413333]
[4041.26415231] [3977.561667]
[4068.39794805] [3894.48]
[4103.47900278] [3637.50255]
[3988.2353951] [3776.3869]
[4033.01665443] [3777.62]
[3914.05052673] [3942.555]
[3939.79969296] [3910.307383]
[3890.1671294] [3881.]
[3939.10991418] [4201.98905]
[4056.87290997] [4193.574667]
[4140.08710902] [4164.27]
[4108.89293519] [4360.722967]
[4101.18867703] [4386.88375]
[4135.55424666] [4394.07]
[4201.31973426] [4225.175]
[4274.84677814] [4338.852]
[4229.64346151] [4318.58]
[4494.69148461] [4376.191667]
[4436.6232884] [4602.280883]
[4350.28025993] [4605.66]
[4523.14353101] [4782.28]
[4442.25974268] [4819.485767]
[4660.5587478] [4822.17]
[4926.86940189] [5563.806567]
[4520.46631713] [5739.438733]
[4767.39598324] [5825.99]
[4794.73262618] [5711.205867]
[4953.67226895] [5603.71294]
[5338.43807018] [5594.66]
[5539.01178796] [5727.6335]
[5266.66287397] [5979.45984]
[5357.63556438] [5986.44]
[5995.58539264] [5983.18455]
[5806.06751907] [5876.079867]
[5876.23383554] [5900.59]
[6183.79100499] [5669.622533]
[5777.97747135] [5893.138417]
[5725.21388759] [5889.82]
[6156.46778695] [5776.69695]
[5869.8538034] [6155.43402]
[6039.38189578] [6136.49]
[6019.19349319] [6388.645167]
[6120.8557291] [6665.306683]
[6342.18229297] [6751.98]
[6439.26121955] [7197.72006]
[6743.74613118] [7437.543317]
[6564.21759502] [7365.99]
[6366.63061461] [6989.071667]
[6545.44611937] [7092.127233]
[6825.05888942] [7128.64]
[7219.46340702] [7158.03706]
[7120.14628927] [6719.39785]
[7279.01680623] [6569.22]
[7053.48541925] [5716.301583]
[7131.82281682] [6550.227533]
[7539.33670704] [6493.63]
[7398.6295286] [7301.42992]
[7091.7059812] [7815.0307]
[7284.76230172] [7868.77]
[7050.70350515] [7817.140383]
[7420.67079234] [8007.654067]
[7158.85929314] [8049.72]
[7445.92740086] [8059.8]
[7265.13688912] [8268.035]
[7566.28065995] [8236.72]
[7529.76521263] [8250.978333]
[7394.30085693] [8707.407267]
[8201.97494212] [8768.8]
[8255.27256116] [9718.29505]
[8031.22732231] [9952.50882]
[8178.25768027] [9919.]
[8787.42846608] [10147.372]
[9303.62329781] [10883.912]
[8699.60066485] [10879.88]
[9372.77630475] [11332.622]
[9144.18215982] [11584.83]
[10131.07238319] [11591.22]
[10166.79894268] [13540.98]
[10927.68158875] [16501.97167]
[10716.29639782] [16860.88]
[13344.25114056] [15142.83415]
[12989.32841784] [14869.805]
[13544.94515009] [15068.95]
[14618.88422116] [17276.39333]
[15170.65527348] [16808.36667]
[15331.89498908] [16252.31]
[15145.04476877] [17771.9]
[18174.66513448] [19498.68333]
[20683.33641458] [19279.9]
[21349.5121774] [18961.85667]
[21217.92317253] [17737.11167]
[18540.01080108] [17382.94]
[22431.40022422] [16047.51]
[19827.33303837] [15190.945]
[19431.3295377] [13776.61]
[19314.0750614] [13949.175]
[22539.72073917] [14119.02833]
[20392.94097058] [13740.94]
[17556.35783136] [15589.32167]
[18189.28560257] [14380.58167]
[15591.68603591] [14214.01]
[17550.89014209] [13215.574]
[15998.17475914] [14165.575]
[14299.01802215] [13796.]
[14853.68900041] [15005.85667]
[16426.16327075] [15053.26167]
[15908.08264524] [15039.24]
[14853.49441575] [17174.12]
[15316.4103127] [17319.198]
[15303.08600094] [17155.95]
[15199.02109807] [15265.90667]
[15657.40481621] [14714.25333]
[16525.57137504] [14437.42]
[16449.89632279] [13296.794]
[15990.24693379] [13912.882]
[17125.30014225] [13791.19]
[16546.10558856] [13852.92]
[16064.84885035] [14012.196]
[17222.88002937] [13554.14]
[15997.13578653] [11116.94667]
[15359.15957157] [11345.42333]
[15378.76682405] [11174.82]
[14731.40242006] [12950.79333]
[14049.73596789] [11505.228]
[14027.38149736] [11513.42]
[14264.60300452] [11223.064]
[12986.87948596] [11282.25833]
[13034.29940306] [11392.03]
[12398.92582847] [10969.815]
[12781.13474688] [11524.77667]
[12152.73162389] [11431.37]
[12150.66885011] [11212.655]
[12197.6112659] [10184.06167]
[11839.66435992] [10082.52]
[11303.83200551] [9083.258333]
[12344.98995636] [8901.901667]
[10659.38054492] [8852.73]
